id_person;person_name;id_birthplace
6;Elżbieta;14
12;Waldemar;96
13;Karol;5
14;Anna;97
15;Jadwiga;98
17;Krystyna;99
18;Jerzy;38
19;Teresa;103
20;Elżbieta;104
21;Helena;105
22;Julita;83
23;Aneta;12
24;Alicja;107
25;Agnieszka;56
26;Małgorzata;83
27;Adam;108
28;Joanna;25
29;Stanisław;154
30;Piotr;8
31;Iwona;1
32;Andrzej;162
33;Ewa;170
34;Ewa;8
35;Grażyna;56
36;Zbigniew;8
37;Monika;16
38;Andrzej;8
39;Magdalena;8
40;Krzysztof;132
41;Teresa;48
42;Bogusława;167
43;Marcin;173
44;Marcin;8
45;Mirosław;26
46;Agnieszka;8
47;Marzena;1
48;Władysława;27
49;Halina;161
50;Robert;1
51;Luiza;8
52;Grzegorz;16
53;Andrzej;8
54;Beata;20
55;Barbara;165
56;Piotr;1
57;Leszek;157
58;Grażyna;158
59;Elżbieta;27
60;Elżbieta;27
61;Zbigniew;27
62;Jolanta;159
63;Aldona;23
64;Katarzyna;27
65;Julietta;49
66;Marian;166
67;Małgorzata;166
68;Arleta;161
69;Marek;27
70;Andrzej;8
71;Andrzej;163
72;Barbara;130
73;Arleta;122
74;Beata;1
75;Blanka;23
76;Andrzej;8
77;Teofil;171
79;Joanna;8
80;Grażyna;172
81;Grzegorz;9
82;Paweł;174
83;Zofia;53
84;Ewa;12
85;Anna;23
86;Agnieszka;
87;Anna;9
88;Monika;
89;Anna;2
90;Genowefa;186
91;Włodzimierz;187
92;Ewa;43
93;Aleksandra;27
94;Ireneusz;49
95;Andrzej;
96;Agata;1
97;Magdalena;8
98;Elżbieta;188
100;Magdalena;8
101;Andrzej;1
103;Elżbieta;
104;Anna;8
105;Wiesława;
106;Izabela;1
107;Bogumiła;27
108;Teresa;
109;Bogdan;
110;Elżbieta;
111;Vacat;
112;Paweł;225
113;Zenona;226
114;Bożena;
115;Bożena;
116;Danuta;
117;Jacek;54
118;Dorota;8
119;Aleksandra;8
120;Monika;8
121;Anna;1
122;Elżbieta;196
123;Karina;24
124;Joanna;8
125;Wanda;231
126;Zbigniew;8
127;Krystyna;232
128;Małgorzata;56
129;Róża;
130;Ewa;48
131;Alina;8
132;Sławomir;8
133;Grzegorz;272
134;Elżbieta;
135;Jadwiga;300
136;Janusz;8
137;Zuzanna;
138;Zbigniew;282
139;Iwona;8
140;Agnieszka;8
141;Karolina;8
142;Bożena;8
143;Andrzej;153
144;Rafał;254
145;Ewa;253
146;Katarzyna;8
147;Anna;273
148;Andrzej;8
149;Wojciech;8
150;Bożena;274
151;Żaneta;43
152;Jacek;8
153;Janusz;8
154;Jolanta;22
155;Anna;
156;Ewa;297
157;Izabela;299
158;Elżbieta;
159;Justyna;8
160;Zbigniew;301
161;Piotr;298
162;Joanna;64
163;Iwona;19
164;Małgorzata;12
165;Rafał;8
166;Katarzyna;19
168;Agnieszka;8
169;Beata;12
170;Teresa;183
171;Anna;304
172;Wojciech;
173;Grzegorz;8
177;Janina;
178;Jarosław;273
179;Izabela;342
180;Izabela;326
181;Ireneusz;22
182;Joanna;273
183;Iwona;20
184;Krystyna;27
185;Jacek;207
186;Doland;
187;Gerard;22
188;Teresa;325
189;Monika;8
190;Barbara;207
191;Romana;8
192;Alicja;327
193;Bożena;131
194;Małgorzata;
195;Marta;83
196;Zbigniew;207
197;Lucyna;273
199;Bożena;341
200;Weronika;32
201;Henryk;343
202;Zbigniew;5
203;Tomasz;8
205;Ireneusz;143
207;Agnieszka;8
208;Grażyna;212
209;Tomasz;8
210;Anna;201
211;Mirosława;273
212;Mariusz;24
213;Tymoteusz;64
214;Joanna;8
215;Dominika;368
216;Antoni;377
217;Jerzy;16
218;Beata;215
219;Zofia;88
220;Anita;231
221;Anna;8
222;Anna;243
223;Wioletta;384
224;Karolina;8
225;Paweł;8
226;Anna;55
227;Aleksandra;
228;Zbigniew;
229;Ewa;
230;Wiesław;50
231;Alicja;8
232;Witold;8
234;Joanna;12
235;Maria;8
236;Katarzyna;8
237;Karolina;8
238;Adam;1
239;Andrzej;8
240;Olga;8
241;Anna;8
242;Izabela;3
244;Adam;8
245;Paweł;
246;Milena;8
247;Maciej;8
248;Marek;56
249;Piotr;96
250;Anna;130
251;Wrzesław;398
252;Anna;290
253;Łukasz;130
254;Aneta;8
255;Ryszard;8
258;Robert;20
259;Krzysztof;399
260;Rafał;22
261;Agnieszka;8
262;Bożena;8
264;Justyna;24
265;Agata;8
266;Aneta;
267;Irina;408
268;Julitta;8
269;Joanna;20
270;Kamila;8
271;Bożena;112
272;Leon;1
273;Paweł;8
274;Robert;8
275;Jerzy;337
276;Małgorzata;60
277;Katarzyna;299
278;Monika;437
279;Aleksandra;200
280;Piotr;64
282;Leszek;207
283;Jacek;436
285;Janina;439
286;Joanna;212
288;Monika;
289;Jacek;153
290;Marzena;8
291;Piotr;8
292;Paweł;
293;Rafał;
294;Renata;23
295;Marta;8
297;Alicja;130
298;Danuta;8
301;Łukasz;8
302;Jacek;64
303;Monika;8
304;Aldona;26
305;Karolina;459
306;Anna;8
307;Malwina;8
308;Teresa;8
309;Iwona;294
310;Dagmara;238
311;Marek;133
312;Grzegorz;8
313;Sylwester;
314;Janina;8
315;Bartłomiej;176
316;Agnieszka;131
318;Janusz;48
319;Mariola;56
320;Anna;8
321;Anna;8
322;Gabriela;49
324;Lucyna;
325;Anna;8
326;Halina;12
327;Katarzyna;8
328;Przemysław;1
329;Daria;1
330;Anna;8
332;Joanna;8
333;Anna;8
334;Luba;502
335;Ewa;49
336;Janina;198
337;Ewa;64
338;Elżbieta;12
339;Sebastian;8
340;Anna;517
341;Maciej;8
342;Rafał;196
343;Małgorzata;12
344;Anna;1
345;Sławomir;20
346;Tomasz;1
347;Ewa;183
348;Katarzyna;49
349;Inna;527
350;Tadeusz;187
351;Iwona;8
352;Aleksandra;8
353;Dagmara;8
354;Bartosz;8
355;Sylwia;8
356;Anna;8
357;Iwona;8
358;Edyta;196
359;Beata;24
360;Anna;8
361;Anna;8
362;Zbigniew;364
363;Przemysław;247
364;Agnieszka;56
366;Iwona;
368;Piotr;153
369;Katarzyna;1
370;Olga;20
371;Anna;459
372;Elżbieta;376
374;Marcin;8
375;Maciej;547
376;Katarzyna;8
377;Zofia;548
378;Wiesława;
379;Piotr;
380;Teresa;373
381;Marcin;
382;Krzysztof;49
383;Robert;8
384;Krzysztof;
385;Dorota;8
386;Monika;8
387;Justyna;8
388;Hanna;549
389;Jan;183
390;Beata;
391;Piotr;243
392;Agnieszka;83
393;Jerzy;8
394;Helena;556
395;Mirosław;
396;Anna;49
397;Janina;21
398;Ewa;314
399;Monika;8
401;Anna;191
402;Anna;131
403;Małgorzata;8
404;Marek;22
405;Ewa;5
406;Tadeusz;8
407;Dariusz;
408;Elżbieta;567
409;Michał;568
411;Lidia;8
412;Małgorzata;569
413;Marek;
414;Maciej;16
415;Hanna;69
416;Gabriela;43
417;Małgorzata;26
418;Iwona;454
419;Elżbieta;12
420;Wiesława;8
421;Anna;8
422;Marcin;130
423;Agnieszka;96
424;Irena;8
425;Marcin;338
479;Dorota;
480;Justyna;
481;Sylwester;35
482;Monika;183
483;Agnieszka;12
484;Urszula;299
485;Anna;12
486;Aleksandra;22
487;Jolanta;8
488;Agnieszka;12
489;Krystyna;425
490;Tomasz;177
491;Marcin;112
492;Waldemar;16
493;Grzegorz;576
494;Arkadiusz;8
495;Maciej;183
496;Magdalena;8
497;Tomasz;337
498;Stanisław;454
499;Agnieszka;578
500;Tomasz;55
501;Małgorzata;401
502;Anna;8
503;Beata;12
504;Krystyna;12
505;Eliza;12
506;Małgorzata;8
508;Katarzyna;12
511;Dawid;131
512;Helena;584
514;Barbara;112
515;Zbigniew;8
516;Anna;8
517;Anna;47
518;Kamila;8
519;Marcin;8
520;Anna;20
521;Marlena;8
522;Marcin;8
524;Barbara;8
525;Rafał;592
526;Joanna;8
527;Józef;8
528;Jarosław;589
529;Radosław;88
530;Tomasz;8
531;Ewa;8
532;Mieczysław;8
533;Danuta;8
534;Agnieszka;598
535;Katarzyna;8
536;Radosław;200
538;Andrzej;8
539;Lidia;176
540;Mariusz;8
541;Wiesława;8
542;Małgorzata;27
543;Jolanta;8
544;Paweł;8
545;Jolanta;602
546;Marta;8
547;Mariusz;463
548;Małgorzata;8
549;Robert;8
550;Marzena;8
551;Marcin;604
552;Anna;132
553;Przemysław;56
554;Paweł;
